spike_id	wrapper_family	required_signature_or_expression	category	current_status	disposition	evidence	implementation_file	test_id
DEFAULT-MPFR	mpfrxx::mpfr_class	default construction reports 512 bits	UPSTREAM_GENERIC_WRAPPER_API	PASS	VERIFY_ONLY	SPIKE.md default-precision-512; fresh process	 include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_mplapack_default_512
DEFAULT-GMP	gmpxx::mpf_class	default construction reports 512 bits	UPSTREAM_GENERIC_WRAPPER_API	PASS	VERIFY_ONLY	SPIKE.md default-precision-512; fresh process	include/gmpfrxx_mkII/detail/mpf_impl.hpp	test_mplapack_default_512
SAME-MPFR	mpfrxx::mpfr_class	mpfrxx::mpfr_class result = a * b + sqrt(a)	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md same-family-arithmetic	include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_mplapack_wrapper_compat
SAME-MPC	mpfrxx::mpc_class	mpfrxx::mpc_class result = z * z + z	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md same-family-arithmetic	include/gmpfrxx_mkII/detail/mpc_impl.hpp	test_mplapack_wrapper_compat
SAME-MPF	gmpxx::mpf_class	gmpxx::mpf_class result = f * g + f	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md same-family-arithmetic	include/gmpfrxx_mkII/detail/mpf_impl.hpp	test_mplapack_wrapper_compat
SAME-MPFC	gmpxx::mpfc_class	gmpxx::mpfc_class result = c * c + c	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md same-family-arithmetic	include/gmpfrxx_mkII/detail/mpfc_impl.hpp	test_mplapack_wrapper_compat
UTILITY-MPFR-MATH	mpfrxx::mpfr_class	sqrt(value) and abs(complex_value)	UPSTREAM_GENERIC_MATH	PASS	VERIFY_ONLY	SPIKE.md utility-print-hex	include/gmpfrxx_mkII/detail/math_mpfr.hpp	test_mplapack_wrapper_compat
UTILITY-MPFR-DECIMAL	mpfrxx::mpfr_class	operator<< decimal output	UPSTREAM_GENERIC_WRAPPER_API	PASS	VERIFY_ONLY	SPIKE.md utility-print-hex	include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_mplapack_wrapper_compat
UTILITY-MPFR-HEX	mpfrxx::mpfr_class	operator<< std::hexfloat output	UPSTREAM_GENERIC_WRAPPER_API	PASS	VERIFY_ONLY	SPIKE.md utility-print-hex	include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_mplapack_wrapper_compat
MPLAPACK-MPFR-POW2	mpfrxx::mpfr_class	pow2(mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic operator* verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-MPFR-SIGN	mpfrxx::mpfr_class	sign(mpfrxx::mpfr_class, mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic abs and unary minus verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-MPFR-NINT	mpfrxx::mpfr_class	nint(mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic floor verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-MPFR-PI	mpfrxx::mpfr_class	pi(mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic const_pi verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-MPFR-SPRINTNUM	mpfrxx::mpfr_class	sprintnum(char*, mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic stream output verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-MPFR-SPRINTHEX	mpfrxx::mpfr_class	sprinthex_mpfr_fixed(char*, size_t, mpfrxx::mpfr_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P3	SPIKE.md mplapack-mpfr-surface; generic hexadecimal stream verified	P3 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-GMP-POW2	gmpxx::mpf_class	pow2(gmpxx::mpf_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P4	SPIKE.md mplapack-gmp-surface; generic operator* verified	P4 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-GMP-SIGN	gmpxx::mpf_class	sign(gmpxx::mpf_class, gmpxx::mpf_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P4	SPIKE.md mplapack-gmp-surface; generic abs and unary minus verified	P4 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-GMP-NINT	gmpxx::mpf_class	nint(gmpxx::mpf_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P4	SPIKE.md mplapack-gmp-surface; generic floor verified	P4 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-GMP-PI	gmpxx::mpf_class	pi(gmpxx::mpf_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P4	SPIKE.md mplapack-gmp-surface; generic const_pi verified	P4 MPLAPACK utility header	test_mplapack_wrapper_compat
MPLAPACK-GMP-SPRINTNUM	gmpxx::mpf_class	sprintnum(char*, gmpxx::mpf_class)	DOWNSTREAM_MPLAPACK_UTILITY	COMPILE_FAIL_DOWNSTREAM_OVERLOAD	DEFER_TO_P4	SPIKE.md mplapack-gmp-surface; generic stream output verified	P4 MPLAPACK utility header	test_mplapack_wrapper_compat
LEGACY-NAME-COLLISION	mpfrxx::mpc_class|gmpxx::mpfc_class	fully qualified legacy and replacement complex names coexist	ALREADY_SATISFIED	PASS	VERIFY_ONLY	SPIKE.md legacy-name-collision	existing namespace and header boundaries	test_header_boundaries
LIFETIME-MPFR	mpfrxx::mpfr_class	materialize nested temporary MPFR expression	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md expression-lifetime	include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_mplapack_wrapper_compat
LIFETIME-MPC	mpfrxx::mpc_class	materialize nested temporary MPC expression	UPSTREAM_GENERIC_OPERATOR	PASS	VERIFY_ONLY	SPIKE.md expression-lifetime	include/gmpfrxx_mkII/detail/mpc_impl.hpp	test_mplapack_wrapper_compat
REAL-DOUBLE	mpfrxx::mpfr_class	explicit construction from double	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-DOUBLE	include/gmpfrxx_mkII/detail/mpfr_impl.hpp	test_dd_real_adapter
REAL-DD	mpfrxx::mpfr_class	explicit construction from dd_real	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-DD	include/gmpfrxx_mkII/adapters/dd_real.hpp	test_dd_real_adapter
REAL-QD	mpfrxx::mpfr_class	explicit construction from qd_real	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-QD	include/gmpfrxx_mkII/adapters/qd_real.hpp	test_qd_real_adapter
REAL-BINARY80	mpfrxx::mpfr_class	explicit construction from mplapack_binary80_t	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-BINARY80	include/gmpfrxx_mkII/adapters/binary80_real.hpp	test_mpf_binary_real_adapters
REAL-BINARY128	mpfrxx::mpfr_class	explicit construction from mplapack_binary128_t	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-BINARY128	include/gmpfrxx_mkII/adapters/binary128_real.hpp	test_mpf_binary_real_adapters
REAL-GMP	mpfrxx::mpfr_class	explicit construction from gmpxx::mpf_class	NOT_REQUIRED	ACCEPTED_P2A	OUT_OF_SCOPE	interop_requirements.tsv REAL-GMP	include/gmpfrxx_mkII/adapters/mpf_real.hpp	test_mpf_binary_real_adapters
